"Type (Restaurant = 0, Hotel = 1, Activity = 2)",Name,About information,Average rating,Latitude,Longitude,Family Friendly (1/0),Cost (average),Operating hours: Opening time,Operating hours: Closing time,Customer reviews,Accessibility rating (1-5),Capacity
1,Courtyard by Marriott Toronto Downtown,"This informal hotel is less than a block from College subway station and a 9-minute walk from shopping at the Toronto Eaton Centre.
Contemporary rooms offer free WiFi, desks, flat-screen TVs and coffeemakers. Suites add separate living areas.
Social spaces include a living room-style lobby. The full-service American restaurant serves breakfast and dinner, while the bistro offers breakfast, lunch and dinner as well as all-day drinks, including Starbucks coffee. There's also a business centre and 19 meeting rooms, plus a 24-hour exercise room.",4.1,43.66265901,-79.38330308,1,161,16:00,12:00,"-The service was impeccable, with a friendly and attentive staff. The room was not only comfortable but also meticulously clean. The hotel’s central location made exploring the city effortless. From the stylish decor to the top-notch amenities, it was a truly five-star experience. I highly recommend this hotel for an exceptional stay in downtown Toronto.
-Excellent experience. Rooms were spotless, and the housekeeping team kept them pristine during our whole week-long trip. Plenty of space: fridge, dresser, closet, roomy bathroom. Linens and towels were fluffy and clean. Complimentary water and chocolates were a lovely touch! The continental breakfast was okay—I would skip and find something local instead; the selection wasn’t great. The hotel staff were sooo kind and were able to offer great local recommendations for things to do. Location is perfect—safe and easy to walk to many nearby neighborhoods. Ideal for those visiting the university or tourists looking to explore downtown.",4,1500
1,DoubleTree by Hilton Toronto Downtown,"A mile from the landmark CN Tower, this relaxed hotel is 3 minutes' walk from St. Patrick's subway station and 8 minutes' walk from the Art Gallery of Ontario.
Streamlined rooms offer free Wi-Fi, flat-screen TVs and coffeemakers; some have minifridges. Suites add separate living areas, and some include kitchens or whirlpool baths.
There's a casual bistro and a polished Asian eatery, along with a heated indoor pool, a sauna and a fitness centre. Other amenities include a 24-hour business centre and more than 13,000 sq ft of conference space.",4.1,43.6549447,-79.38612073,1,182,15:00,12:00,"-Overall not a bad stay. This hotel is in the perfect location, right beside Nathan Phillips Square and St. Patrick Station. The room was on the smaller side, but big windows made it feel nice and bright. Sadly a new tower has gone up right next door, which blocks any CN Tower views. Warm cookies at check-in is also a nice touch.
Unfortunately our stay was not perfect, as midway through my shower the water started coming out dark brown for about 20 seconds. The front-desk sent up their “engineering” team to have a look, who just told me to run the water for 5 minutes before using it. Considering this happened in the middle of my shower, I don’t see how that would help…
It didn’t completely ruin the stay for me, but there definitely shouldn’t be brown water coming out of the taps in a Hilton brand property…
-We had an amazing experenice staying at this hotel from beginning to end. We stayed 2 nights and everything went smooth. Staff was amazing and very helpful, room was well kept. Hotel was in good location, 2 min walking distance from Eaton Center.
I would recommend this hotel to anyone looking for good service and a clean facility. 100 stars to the staff.",5,2500
2,Harbourfront Centre,"Lakeside cultural hub with dance, modern art, craft & theatre spaces, plus many annual events.
",4.6,43.63917564,-79.38189996,1,0,12:00,18:00,"-A very beautiful beach and a long walk  along the beach may be a  memorable trip to everyone, enjoy boating, speed boating with family and friends. You may enjoy the beautiful view of CN Tower and the skyrise  buildings specially during evening.
-The center, which opened in 1974, is a stunning urban playground and one of the most popular destinations for locals and visitors alik and a great place to spend time strolling, picnicking, gallery-hopping, biking, shopping, and sailing. Harbourfront has several venues devoted to the arts. Underground parking is available on-site at 235 Queens Quay West, or above-ground one block west at Rees Street and Queens Quay West.",2,500
2,Allan Gardens,Collection of plants from around the world housed in a cast-iron & glass building dating from 1910.,4.6,43.66192918,-79.37478112,1,0,10:00,17:00,"-I can't find nicer words to explain how magical this place is! The staff is super helpful and really welcoming. Loved every second of this trip.

Don't hesitate to pay Allan Gardens a visit. Nobody could stay stressed inside. Just sit by the bridge and watch the water-wheel and turtles forever.
-Beautiful garden! Such a nice breath of fresh air in the city. The plants were all so well taken care of and vibrant. The volunteer was so helpful, giving us directions and letting us know where to find the different plants. The highlight for us was the turtles. There were so many!! We spent a solid ten minutes just admiring them. Will definitely be back!",1,50
0,Katsuya,"Lively Japanese fusion joint specializing in breaded cutlets & other deep-fried eats, plus beer.",4.6,43.66063058,-79.37893165,1,20,12:00,22:00,"-Katsuya's udon and pork loin katsu are both fantastic options that truly capture the essence of Japan. The udon noodles are wonderfully chewy, swimming in a rich and flavorful broth that instantly transports you to the streets of Tokyo. And the pork loin katsu? It's a masterpiece of crispy perfection, with succulent meat that practically melts in your mouth. Together, they create a culinary experience that's as authentic as it is delicious. Highly recommended for anyone craving a taste of Japan!                                                                                                                                     -I would highly recommend the red carbonara pork katsu dish. It was delicious. Huge portion. Very friendly attentive staff. We also had the cheese crabmeat croquette and the takoyaki.",3,45
1,Yonge Suites,"A 12-minute walk from the Financial District, this modern apartment hotel is adjacent to a shopping centre and a TTC Subway station. It's within a 6-minute walk of City Hall, Ryerson University and St. Michael's Hospital.
Airy, contemporary apartments feature hardwood floors, granite countertops, full kitchens, living areas and workspaces. All come with climate control and laundry facilities, in addition to free Wi-Fi, flat-screen TVs and iPod docks. Many have floor-to-ceiling windows with city views. Loft-style penthouses offer wraparound terraces.
Meeting facilities are available.",4.7,43.65423369,-79.37944664,1,255,15:00,11:00,"-I recently stayed at Yonge Suites and it was an excellent experience. The rooms were spacious and modern, with all the amenities I needed. The staff was friendly and helpful, and the breakfast was delicious. The hotel is conveniently located close to shopping and restaurants, and the area is very safe. I would highly recommend this hotel for anyone looking for a comfortable and enjoyable stay.                                                                                                                               -Hotel is dated. Service was good, they accommodated our last minute check in times at a very unsocial hour. Location was great, middle of the city and number of attractions metro/train station was walking distance",4,4000
2,CN Tower,"Landmark, over 553-metre tower featuring a glass floor & a revolving eatery with panoramic views.",4.6,43.64314073,-79.38709972,1,45,10:00,21:00,"-Great view!!! We came Monday 10:30, was almost no one there, took great pictures without the crowd. Bought tickets online in 2 minutes, very easy! Staff was also very nice and helpful.
Just be ready they going to check your bags, we are visitors from another city, they took out all clothes we had in the backpack, the good thing they were accurate to put it back.                                                                                                                                                          -One of the most touristic spots in Toronto. There is a wonderful view of the city from the top. Really beautiful. You go up to the top with the elevator, which is very fast. At night, the tower is illuminated and it is nice to observe it even from afar. It is usually very crowded, so you can expect a long queue, approx. at least an hour. There is also a souvenir shop in the tower. You can also walk on the glass floor, which is very exciting.",5,7000
0,Egg Club,Straightforward takeaway dishing up egg sandwiches & BLTs with Japanese milk bread.,4.8,43.65710307,-79.37780836,1,10,7:00,16:00,"-I’m amazed I hadn’t discovered this place sooner! They offer an affordable breakfast menu priced between 6-10$ , featuring delicious hash browns and fantastic sandwiches. The service is quick, and the presentation is on point - absolutely loved it! A tip: order ahead to avoid waiting in the shop, as it can get a bit smelly with the scent of burnt eggs and bacon. Both the BLT and Egg Club sandwiches were amazing. Highly recommend!                                                                                                                                                                                                                                                                         -I was excited to try the bacon egg sandwich as seen on TikTok with all the rave reviews.

Honestly I was not a fan at all of the sandwich. The special ""egg club sauce"" was wayyyyy to sweet. I think I would have liked it a lot more without the ""special sauce"". The sandwich was also pretty expensive for what it was. I would only try again if the sauce wasn't in it and the price doesn't increase any more.",4,35
1,Neill Wycik Hotel,"Occupying 17 floors in a high-rise student residence, this unassuming seasonal hotel is 2 km from both the Royal Ontario Museum and St. Lawrence Market South.
Straightforward dorms feature Wi-Fi, desks and shared bathrooms. Private rooms add en suite facilities.
Amenities include coin-operated laundry facilities, a communal kitchen, and a rooftop terrace with BBQs. Parking and breakfast are available.",3.4,43.66082786,-79.37806586,1,177,16:00,10:00,"-Best value for price that I could find anywhere in downtown Toronto, I loved the fact that single rooms were available, as opposed to other hostels that require sharing a room with other people. I got my own bedroom that locked, and shared a toilet, shower, and large kitchen area (with a fridge and stove) with four or five other rooms. When I stayed, it was pretty quiet and there was only one other person in my suite. My only complaints are that the rooms were hot (but not unbearably so) and the sheets weren't the most comfortable, but overall you can't beat the location, price, and excellent service from the staff. Free breakfast is an amazing bonus - the selection was good and the amount of food you get is amazing! Other reviews might be overly critical because of the student dorm energy, but as a student myself who is used to living in residence, my room was very clean and the furniture was in surprisingly decent condition.                                                                                                                                                                                                                                                                 -Fantastic location downtown. Stayed for two weeks with my husband and daughter in a quad room. The rooms are dorm style so don’t expect fancy and bring a fan because the rooms can get hot (we travel here with a tower fan). The roof top has amazing views of the city and there are 2 bbq on the roof. Be sure to travel with some basic dishes, pots, pans, and utensils if you plan to cook. This is our second year staying here and it’s a great affordable option.",3,3700
2,Nathan Phillips Square,Lively public space in front of city hall hosting events year-round & a busy ice rink in the winter.,4.6,43.65325029,-79.38371411,1,0,0:00,0:00:00,"-During winter, the fountain area is converted into an public ice rink and is free if you bring your own skates. You also have the option to rent skates for a fee. It gets a bit busy during the weekend but the space is enough for everyone to enjoy the ice. The surface gets a bit rough with all the skaters but it's still a fun winter activity for the whole family. The area is quiet picturesque and you can take some nice picture specially at night when the Toronto sign is lit up in the dark.                                                                                                                                                                                                                                      -Very nice. There is a lot going on, especially in the evenings. In winter there is an ice rink, which is free - only rent skates for a fee. It is nice to sit by the pool in the evening and enjoy the view of the square. It can be quite crowded on holidays and vacations. The main attraction are the letters TORONTO, which also light up at night. Wonderful place to take a photo.",4,20000
0,Harvey's,"Harvey's is a fast food restaurant chain operating in Canada, with locations in every province except British Columbia. It serves hamburgers, poutine, hot dogs, french fries, onion rings, and other traditional Canadian fast-food fare.",4,43.65840747,-79.38048911,1,20,10:30,22:00,"-Was so looking forward to this. But it was nowhere close compared to South St. and Priest.
-Came for 2 Jr chicken burgers. Tasted great, fresh veggies. Great healthy meal.

Each burger had 1 sauce: Garlic mayo and Harv sauce. Note that I don't like Harv sauce, so future get another sauce, like Ranch or any new sauces they have.",4,50
0,Pizzeria Libretto - University,Wood-fired Neapolitan-style pizzas made with simple ingredients & served in a bustling space.,4.4,43.65014569,-79.38503873,1,30,11:30,22:00,"-Great pizza, great gnocchi, great ambiance and decent service! The chili oil was very flavorful. The portion of the gnocchi is quite less and the taste is so creamy and flavorful that it leaves you wanting for more. We had a great time here and it exceeded our expectations. Usually Za is our go to for pizza in downtown but now we added Libretto to our list. Can't wait to go back and try more pizzas and the appetizer gnocchi.                                                                                                                                                                 -Absolutely incredible food and stellar service!! They were able to rush my order so I could make it to my show. The staff were incredibly kind, patient and attentive. I cannot rave about them enough. I had the gorgonzola gnocchi and it was simply divine. I had cleaned my plate in 10 minutes, that’s how good it was. If you need some delicious food while you’re downtown, you should definitely go here!
",3,60
0,Moxies Toronto Downtown Restaurant,"Open for dine-in, pick-up, take-out & delivery. Moxies restaurant is a contemporary casual restaurant offering a globally inspired menu and hand crafted cocktails in a vibrant and interactive atmosphere.",4.1,43.64749228,-79.38437957,1,25,11:00,1:00,"-Came here for desert our server was very kind and attentive. The place looked good and up scale the brownie was tasty. There is no free parking which is a downside.                                                                                                                                                                  -We went for lunch during the workday. Our food came quick, it was excellent, but a bit overpriced. The place was very busy but not too loud. Great spot for a nice lunch during the day. I got the tofu lettuce wraps, and my friends liked what they got as well.",4,45
0,Basil Box,"Basil Box reintroduces Asian cuisine to the North American market in an authentic and healthy way, to satisfy both your cravings and your conscience. You don't need more time to eat right: you can build your box in minutes, knowing that you're doing right by your mind and your body.",4.3,43.65891889,-79.3813755,1,15,11:00,22:00,"-Right in the heart of downtown Toronto, Basil Box is a great option whenever I want a meal that is healthy, not heavy, and affordable.

I had the chance to try their MVB- most valuable boxes. These amerprotein and fibre packed boxes at a great price. In addition, you also get a free Iced Tea with the purchase of an MVB. You get the choice of Signature Chicken, Healthy Steak, and Yuzu Tofu. The Yuan Tofu was so flavourful and the Healthy Steak was savoury and delicious. The Iced Teas paired perfectly with the MVBs.  The spring rolls were surprisingly not oily and extra crispy. Last but not least, the the Bahn Mi fries were superb.

Can't wait to come back for some more!                                                                                                                                                                 -Just ordered a lovely meal here! I got the lemongrass chicken with rice and peanut sauce. The chicken was juicy and not overcooked, rice was great, peanut sauce was delish. I’ll be ordered from here again. Portions are great sizes too!",3,55
0,Banh Mi Boys,"Asian-inspired subs, sandwiches, tacos & steamed buns spiced to order in a snug & lively location.",4.4,43.65817374,-79.38103217,1,25,11:00,22:00,-We got the kimchi fries and kalbi beef tacos. The cashiers was really nice and the food did not take too long to be ready. The kimchi fries were good as well as the tacos. The beef was tender and was not hard to work through. Flavour for both was definitely there and would go back if I was in the area!                                                          -Solid bahn mi - the grilled pork was juicy and the sauce complimented the flavours nicely. They also had a generous amount of the pickled carrot radish and cucumber.,4,65
0,Rolltation Sushi Burrito,Asian inspired fast casual restaurant! ,4.3,43.65724305,-79.38112056,1,20,11:00,21:30,"-Wonderful culinary experience in downtown Toronto, steps away from Eaton Centre. We ordered Umami Poke Bowl, California poke bowl and wasabi tuna poke bowl. What a treat for tastebuds, different textures, flavors, spice. Supremely satisfying and filling comfort food. Will definitely visit again!                                                                                                                                                                     -Bowls and burritos are delicious. Service is fast, and there are a decent amount of tables, but it gets busy during peak meal hours.",3,25
1,Royal Oak Inn,"In the residential area of Cabbage Town, this low-key hotel in a remodeled Victorian-style building is a 4-minute walk from casual dining and a 3-minute streetcar ride from Ryerson University.
Simple rooms with hardwood floors and en suite bathrooms feature basic furnishings and retro-modern decor including flat-screen TVs with cable channels, radios and free WiFi.
Continental breakfast is complimentary.",3,43.65983338,-79.36848146,1,146,15:00,11:00,"-Other then the bed being comfortable, it was not the cleanest and it was very noisy the whole night through. Pretty sketchy area. Not comforting for a girl travelling solo. I’m an experienced traveller and not scared easily. This one night stay wasn’t pleasant at all.                                                                                                                                 -A perfectly fine place to stay for cheap! Clean with good service. Like the reviews say, it's a little noisy, and the area isn't great. No hidden fees or tricks, and the price is great",2,350
1,"The Saint James Hotel, Ascend Hotel Collection","A 3-minute walk from College subway station, this straightforward redbrick hotel is also a 6-minute walk from the Ed Mirvish Theatre and 2.6 km from the CN Tower.
The modern rooms feature free Wi-Fi, 42-inch flat-screen TVs and pull-out sofas. All rooms come with minifridges, microwaves and coffeemakers.
Guests receive complimentary passes to a nearby fitness centre. There's also a business centre.",4.4,43.66005071,-79.380884,1,125,15:00,11:00,"-This newly renovated hotel is quite nice. Lovely room; modern furnishings. The desk staff are very helpful & the breakfast is wonderful - fresh/healthy/substantial. Inexpensive parking arrangement. The only negative is the small bathroom with a small sink & little room for toiletries.                                      -Great location on a relatively quiet street but within walking distance of many restaurants and shops. Rooms were large, clean, and modern. Bed was very, very comfortable. Breakfast downstairs was included and was your choice of breakfast wrap and choice of oatmeal. Bathrooms were of good size, with modern fixtures and rainforest shower head. I would definitely stay here again.",2,250
